filename,comment,preds,stripped_code,meteor_score,bleu_4,rouge_1,rouge_2,rouge_L
BRAINSia-BRAINSTools-11a70b1/ARCHIVE/BRAINSSurfaceTools/BRAINSSurfaceCommon/itkMeshToMeshRegistrationMethod.h,Method invoked by the pipeline in order to trigger the computation of the registration.,2,"using Superclass::MakeOutput;

virtual DataObjectPointer MakeOutput(size_t idx) override;

unsigned long GetMTime() const override;

protected:
MeshToMeshRegistrationMethod();
virtual ~MeshToMeshRegistrationMethod(){};
void PrintSelf(std::ostream &os, Indent indent) const override;

void GenerateData() override;

private:
MetricPointer m_Metric;
OptimizerType::Pointer m_Optimizer;

MovingMeshConstPointer m_MovingMesh;
FixedMeshConstPointer m_FixedMesh;

TransformPointer m_Transform;
InterpolatorPointer m_Interpolator;

ParametersType m_InitialTransformParameters;
ParametersType m_LastTransformParameters;
}
;
}",0.0,0.0,--,--,--
PhilipZwanenburg-DPGSolver-b48e04b/src/testing/unit/test_unit_bases.c,Provides unit tests for the orthonormal simplex basis functions.,2,"static void
test_unit_basis_simplex_orthonormal(struct Test_Info *const test_info) {
  UNUSED(test_info);
  bool pass = false;
  double *tol = NULL;
  bool *differences = NULL;

  struct Basis_Data_SI_Ortho *b_data_a = constructor_Basis_Data_SI_Ortho('a'),
                             *b_data_c = constructor_Basis_Data_SI_Ortho('c');

  tol = (double[]){
      10 * EPS,
      20 * EPS,
      10 * EPS,
  };
  differences = (bool[]){
      diff_const_Matrix_d(b_data_a->phi22, b_data_c->phi22, tol[0]),
      diff_const_Matrix_d(b_data_a->phi23, b_data_c->phi23, tol[1]),
      diff_const_Matrix_d(b_data_a->phi32, b_data_c->phi32, tol[2]),
  };
  if (check_diff(3, differences, &pass)) {
    if (differences[0])
      print_diff_const_Matrix_d(b_data_a->phi22, b_data_c->phi22, tol[0]);
    if (differences[1])
      print_diff_const_Matrix_d(b_data_a->phi23, b_data_c->phi23, tol[1]);
    if (differences[2])
      print_diff_const_Matrix_d(b_data_a->phi32, b_data_c->phi32, tol[2]);
  }
  expect_condition(pass, ""basis"");

  tol = (double[]){
      2 * EPS,
      EPS,
  };
  differences = (bool[]){
      diff_const_Multiarray_Matrix_d(b_data_a->grad_phi22, b_data_c->grad_phi22,
                                     tol[0]),
      diff_const_Multiarray_Matrix_d(b_data_a->grad_phi31, b_data_c->grad_phi31,
                                     tol[1]),
  };
  if (check_diff(2, differences, &pass)) {
    if (differences[0])
      print_diff_const_Multiarray_Matrix_d(b_data_a->grad_phi22,
                                           b_data_c->grad_phi22, tol[0]);
    if (differences[1])
      print_diff_const_Multiarray_Matrix_d(b_data_a->grad_phi31,
                                           b_data_c->grad_phi31, tol[1]);
  }
  expect_condition(pass, ""grad basis"");

  tol = (double[]){
      20 * EPS,
      30 * EPS,
  };
  differences = (bool[]){
      diff_const_Matrix_d(b_data_a->m_24, b_data_c->m_24, tol[0]),
      diff_const_Matrix_d(b_data_a->m_34, b_data_c->m_34, tol[1]),
  };
  if (check_diff(2, differences, &pass)) {
    if (differences[0])
      print_diff_const_Matrix_d(b_data_a->m_24, b_data_c->m_24, tol[0]);
    if (differences[1])
      print_diff_const_Matrix_d(b_data_a->m_34, b_data_c->m_34, tol[1]);
  }
  expect_condition(pass, ""mass matrix"");

  tol = (double[]){
      9 * EPS,
      8e4 * EPS,
  };
  differences = (bool[]){
      diff_const_Multiarray_d(b_data_a->grad_coef_25, b_data_c->grad_coef_25,
                              tol[0]),
      diff_const_Multiarray_d(b_data_a->grad_coef_37, b_data_c->grad_coef_37,
                              tol[1]),
  };
  if (check_diff(2, differences, &pass)) {
    if (differences[0])
      print_diff_const_Multiarray_d(b_data_a->grad_coef_25,
                                    b_data_c->grad_coef_25, tol[0]);
    if (differences[1])
      print_diff_const_Multiarray_d(b_data_a->grad_coef_37,
                                    b_data_c->grad_coef_37, tol[1]);
  }
  expect_condition(pass, ""gradient evaluation"");

  destructor_Basis_Data_SI_Ortho(b_data_a);
  destructor_Basis_Data_SI_Ortho(b_data_c);

  assert_condition(pass);
}",0.0,0.0,--,--,--
MightyPork-avr-projects-1c993f8/projects/color-memory-game/main.c,Randomly place pairs of cards on the board,2,"void deal_cards() {

  for (uint8_t i = 0; i < CARD_COUNT; ++i) {
    board[i] = (tile_t){.color = 0, .state = GONE};
  }

  const uint8_t dealt_cards =
      get_pin(FLAG_SMALL) ? CARD_COUNT : CARD_COUNT_SMALL;

  for (uint8_t i = 0; i < (dealt_cards / 2); ++i) {

    for (uint8_t j = 0; j < 2; j++) {

      while (1) {
        const uint8_t pos = rand() % dealt_cards;

        if (board[pos].state == GONE) {
          board[pos] = (tile_t){.color = i, .state = SECRET};
          break;
        }
      }
    }
  }
}",0.0,0.0,--,--,--
StarLabMakerSpace-Nova4Mixly-bed4f4f/nova/hardware/nova/avr/bootloaders/Caterina-ORG/LUFA-111009/LUFA/Drivers/USB/Class/Host/MassStorage.c,"Retrieves the Mass Storage device's inquiry data for the specified LUN, indicating the device characteristics and properties.",0,"uint8_t MS_Host_GetInquiryData(USB_ClassInfo_MS_Host_t *const MSInterfaceInfo,
                               const uint8_t LUNIndex,
                               SCSI_Inquiry_Response_t *const InquiryData) {
  if ((USB_HostState != HOST_STATE_Configured) ||
      !(MSInterfaceInfo->State.IsActive))
    return HOST_SENDCONTROL_DeviceDisconnected;

  uint8_t ErrorCode;

  MS_CommandBlockWrapper_t SCSICommandBlock = (MS_CommandBlockWrapper_t){
      .DataTransferLength = CPU_TO_LE32(sizeof(SCSI_Inquiry_Response_t)),
      .Flags = MS_COMMAND_DIR_DATA_IN,
      .LUN = LUNIndex,
      .SCSICommandLength = 6,
      .SCSICommandData = {SCSI_CMD_INQUIRY, 0x00, 0x00, 0x00,
                          sizeof(SCSI_Inquiry_Response_t), 0x00}};

  MS_CommandStatusWrapper_t SCSICommandStatus;

  if ((ErrorCode = MS_Host_SendCommand(MSInterfaceInfo, &SCSICommandBlock,
                                       InquiryData)) != PIPE_RWSTREAM_NoError)
    return ErrorCode;

  if ((ErrorCode = MS_Host_GetReturnedStatus(
           MSInterfaceInfo, &SCSICommandStatus)) != PIPE_RWSTREAM_NoError)
    return ErrorCode;

  return PIPE_RWSTREAM_NoError;
}",0.0,0.0,--,--,--
multitheftauto-mtasa-blue-1f5e9f8/vendor/ehs/ehs.h,adds new data to psBuffer,2,"NetworkAbstraction *GetNetworkAbstraction();

int TrySend(const char *ipMessage, size_t inLength, int inFlags = 0);
}
;

class EHSServer;

class EHS {

protected:
  EHSMap oEHSMap;

  EHS *poParent;

  std::string sRegisteredAs;

  EHSServer *poEHSServer;

  EHS *m_poSourceEHS;

public:
  EHS(EHS *ipoParent = NULL, std::string isRegisteredAs = """");

  virtual ~EHS();

  void SetCertificateFile(std::string &irsCertificateFile);

  void SetCertificatePassphrase(std::string &irsCertificatePassphrase);

  void SetPassphraseCallback(int (*m_ipfOverridePassphraseCallback)(char *, int,
                                                                    int,
                                                                    void *));

  void SetParent(EHS *ipoParent, std::string isRegisteredAs);

  enum RegisterEHSResult {
    REGISTEREHSINTERFACE_INVALID = 0,
    REGISTEREHSINTERFACE_ALREADYEXISTS,
    REGISTEREHSINTERFACE_SUCCESS
  };

  RegisterEHSResult RegisterEHS(EHS *ipoEHS, const char *ipsRegisterPath);

  enum UnregisterEHSResult {
    UNREGISTEREHSINTERFACE_INVALID = 0,
    UNREGISTEREHSINTERFACE_NOTREGISTERED,
    UNREGISTEREHSINTERFACE_SUCCESS
  };

  UnregisterEHSResult UnregisterEHS(const char *ipsRegisterPath);

  virtual HttpResponse *RouteRequest(HttpRequest *ipoHttpRequest);

  virtual ResponseCode HandleRequest(HttpRequest *ipoHttpRequest,
                                     HttpResponse *ipoHttpResponse);

  virtual void HttpPulse(void){};

  virtual bool ShouldAllowConnection(const char *szAddress) { return true; }",0.0,0.0,--,--,--
ARM-software-scmi-tests-24dd373/protocols/power/power_exe.c,The function is called by the test engine before sending the power domain attributes command and testing the received values.,3,"void arm_scmi_custom_test_power_domain_attributes(
    struct arm_scmi_protocol_execution_context *protocol_execution_context,
    arm_scmi_test_case_t *test_case) {
  uint32_t domain_id;
  int error_code;
  uint32_t attributes;
  uint32_t protocol_mask = expected_flags_mask;
  uint32_t rcv_u, exp_u;
  char *domain_name;
  char *rcv_s, *exp_s;
  struct arm_scmi_protocol_execution_context *prot = protocol_execution_context;
  enum test_status res;

  test_case->parameter_count = 1;
  test_case->parameters = (uint32_t[MAX_PARAMETERS_SIZE]){};
  if (test_case->invalid_parameter ==
      OFFSET_INVALID_PARAM(struct arm_scmi_power_domain_attributes,
                           domain_id)) {

    test_case->parameters[OFFSET_PARAM(struct arm_scmi_power_domain_attributes,
                                       domain_id)] =
        power_protocol_data.num_power_domains + 1;
    error_code =
        arm_scmi_execute_and_assert_test_case(prot, test_case, &received);
  } else if (test_case->parameter_discovery_driven) {

    for (domain_id = 0; domain_id < power_protocol_data.num_power_domains;
         ++domain_id) {
      test_case->parameters[OFFSET_PARAM(
          struct arm_scmi_power_domain_attributes, domain_id)] = domain_id;
      snprintf(description, NUM_ELEMS(description), ""\n\t\tPOWER DOMAIN ID %d"",
               domain_id);
      arm_scmi_log(&prot->test_stats, description);
      error_code =
          arm_scmi_execute_and_assert_test_case(prot, test_case, &received);
      if (arm_scmi_skip_return_values(error_code, received.status))
        break;
      attributes = RETURN_VAL(received, struct arm_scmi_power_domain_attributes,
                              attributes);

      res = INFO;
      rcv_u = arm_scmi_get_norm_bits(attributes,
                                     POWER_DOMAIN_ATTR_STATE_NOTIFICATIONS_HIGH,
                                     POWER_DOMAIN_ATTR_STATE_NOTIFICATIONS_LOW);
      snprintf(name, NUM_ELEMS(name),
               ""POWER STATE CHANGE NOTIFICATIONS SUPPORT"");
      if ((power_expected->power_state_notification_support != NULL) &&
          (protocol_mask & LEFT_SHIFT(POWER_STATE_NOTIFICATION_SUPPORT))) {
        exp_u = power_expected->power_state_notification_support[domain_id];
        res = (exp_u == rcv_u) ? PASSED : FAILED;
        snprintf(description, NUM_ELEMS(description),
                 ""Expected: %d, Received: %d"", exp_u, rcv_u);
      }
      if ((res == PASSED) || (res == INFO)) {
        snprintf(description, NUM_ELEMS(description), ""%d"", rcv_u);
      }
      arm_scmi_log_test_result(&prot->test_stats, res, name, description);

      res = INFO;
      rcv_u = arm_scmi_get_norm_bits(attributes, POWER_DOMAIN_ATTR_ASYNC_HIGH,
                                     POWER_DOMAIN_ATTR_ASYNC_LOW);
      snprintf(name, NUM_ELEMS(name), ""POWER ASYNCHRONOUS SUPPORT"");
      if ((power_expected->power_asynchronous_support != NULL) &&
          (protocol_mask & LEFT_SHIFT(POWER_ASYNCHRONOUS_SUPPORT))) {
        exp_u = power_expected->power_asynchronous_support[domain_id];
        res = (exp_u == rcv_u) ? PASSED : FAILED;
        snprintf(description, NUM_ELEMS(description),
                 ""Expected: %d, Received: %d"", exp_u, rcv_u);
      }
      if ((res == PASSED) || (res == INFO)) {
        snprintf(description, NUM_ELEMS(description), ""%d"", rcv_u);
      }
      arm_scmi_log_test_result(&prot->test_stats, res, name, description);

      res = INFO;
      rcv_u = arm_scmi_get_norm_bits(attributes, POWER_DOMAIN_ATTR_SYNC_HIGH,
                                     POWER_DOMAIN_ATTR_SYNC_LOW);
      snprintf(name, NUM_ELEMS(name), ""POWER SYNCHRONOUS SUPPORT"");
      if ((power_expected->power_synchronous_support != NULL) &&
          (protocol_mask & LEFT_SHIFT(POWER_SYNCHRONOUS_SUPPORT))) {
        exp_u = power_expected->power_synchronous_support[domain_id];
        res = (exp_u == rcv_u) ? PASSED : FAILED;
        snprintf(description, NUM_ELEMS(description),
                 ""Expected: %d, Received: %d"", exp_u, rcv_u);
      }
      if ((res == PASSED) || (res == INFO)) {
        snprintf(description, NUM_ELEMS(description), ""%d"", rcv_u);
      }
      arm_scmi_log_test_result(&prot->test_stats, res, name, description);

      arm_scmi_check_and_report_dec(
          &prot->test_stats, ALL_BITS_SET, CHECK, RESERVED,
          arm_scmi_get_norm_bits(attributes, POWER_DOMAIN_ATTR_RESERVED_HIGH,
                                 POWER_DOMAIN_ATTR_RESERVED_LOW),
          ""RESERVED"");

      power_protocol_data.attributes[domain_id] = attributes;

      res = INFO;
      domain_name =
          RETURN_STR(received, struct arm_scmi_power_domain_attributes, name);
      rcv_s = domain_name;
      snprintf(name, NUM_ELEMS(name), ""DOMAIN NAME"");
      if ((power_expected->power_domain_names != NULL) &&
          (protocol_mask & LEFT_SHIFT(POWER_DOMAIN_NAMES))) {
        exp_s = power_expected->power_domain_names[domain_id];
        res = (strcmp(rcv_s, exp_s) == 0) ? PASSED : FAILED;
        snprintf(description, NUM_ELEMS(description),
                 ""Expected: %s, Received: %s"", exp_s, rcv_s);
      }
      if ((res == PASSED) || (res == INFO)) {
        snprintf(description, NUM_ELEMS(description), ""'%s'"", rcv_s);
      }
      arm_scmi_log_test_result(&prot->test_stats, INFO, name, description);
    }
  }
}",0.0,0.0,--,--,--
makestuff-neroJtag-b7f0313/LUFA-110528/LUFA/Drivers/USB/Class/Host/Printer.c,"Soft-resets the attached printer, readying it for new commands.",2,"uint8_t
PRNT_Host_SoftReset(USB_ClassInfo_PRNT_Host_t *const PRNTInterfaceInfo) {
  USB_ControlRequest = (USB_Request_Header_t){
      .bmRequestType = (REQDIR_HOSTTODEVICE | REQTYPE_CLASS | REQREC_INTERFACE),
      .bRequest = PRNT_REQ_SoftReset,
      .wValue = 0,
      .wIndex = PRNTInterfaceInfo->State.InterfaceNumber,
      .wLength = 0,
  };

  Pipe_SelectPipe(PIPE_CONTROLPIPE);

  return USB_Host_SendControlRequest(NULL);
}",0.0,0.0,--,--,--
ARM-software-scmi-tests-24dd373/protocols/clock/clock_exe.c,The function is called by the test engine before sending the clock describe rates command and testing the received values.,3,"void arm_scmi_custom_tester_clock_describe_rates(
    struct arm_scmi_protocol_execution_context *protocol_execution_context,
    arm_scmi_test_case_t *test_case) {
  uint8_t clock_id;
  uint32_t num_rates_flags;
  uint8_t num_rates = 0;
  uint32_t rcv_u, exp_u;
  uint32_t rate_index = 0;
  uint32_t remaining_rates;
  struct arm_scmi_clock_rate *rcv_rates, *rates;
  size_t nr;
  struct arm_scmi_protocol_test_stats *test_stats =
      &protocol_execution_context->test_stats;
  uint64_t op1, step_size;
  struct arm_scmi_clock_rate **discrete;
  int error_code;

  test_case->parameters = (uint32_t[MAX_PARAMETERS_SIZE]){};
  test_case->parameter_count = 2;
  if (test_case->invalid_parameter ==
      OFFSET_INVALID_PARAM(struct arm_scmi_clock_describe_rates, clock_id)) {

    test_case->parameters[OFFSET_PARAM(struct arm_scmi_clock_describe_rates,
                                       clock_id)] =
        clock_protocol_data.num_clocks;
    test_case->parameters[OFFSET_PARAM(struct arm_scmi_clock_describe_rates,
                                       rate_index)] = 0;
    arm_scmi_execute_and_assert_test_case(protocol_execution_context, test_case,
                                          &received);
  } else {

    for (clock_id = 0; clock_id < clock_protocol_data.num_clocks; ++clock_id) {
      snprintf(description, NUM_ELEMS(description), ""\n\t\tCLOCK ID %d"",
               clock_id);
      arm_scmi_log(test_stats, description);
      test_case->parameters[OFFSET_PARAM(struct arm_scmi_clock_describe_rates,
                                         clock_id)] = clock_id;
      rate_index = 0;

      rates = clock_protocol_data.clocks[clock_id].rates;
      do {

        test_case->parameters[OFFSET_PARAM(struct arm_scmi_clock_describe_rates,
                                           rate_index)] = rate_index;
        error_code = arm_scmi_execute_and_assert_test_case(
            protocol_execution_context, test_case, &received);
        if (arm_scmi_skip_return_values(error_code, received.status))
          break;

        num_rates_flags = RETURN_VAL(
            received, struct arm_scmi_clock_describe_rates, num_rates_flags);

        remaining_rates = arm_scmi_get_norm_bits(
            num_rates_flags, CLK_DESCRATE_NUM_RATES_REMAINING_HIGH,
            CLK_DESCRATE_NUM_RATES_REMAINING_LOW);
        arm_scmi_check_and_report_dec(test_stats, ALL_BITS_SET, PRINT, 0,
                                      remaining_rates,
                                      ""NUMBER OF REMAINING RATES"");

        rcv_u =
            arm_scmi_get_norm_bits(num_rates_flags, CLK_DESCRATE_RESERVED_HIGH,
                                   CLK_DESCRATE_RESERVED_LOW);
        arm_scmi_check_and_report_dec(test_stats, ALL_BITS_SET, CHECK, RESERVED,
                                      rcv_u, ""RESERVED"");

        uint32_t format = arm_scmi_get_norm_bits(
            num_rates_flags, CLK_DESCRATE_RETURN_FORMAT_HIGH,
            CLK_DESCRATE_RETURN_FORMAT_LOW);
        clock_protocol_data.format = format;
        if (clock_expected->rate_format_supported) {
          arm_scmi_check_and_report_dec(
              test_stats, expected_flags_mask,
              LEFT_SHIFT(RATE_FORMAT_SUPPORTED),
              clock_expected->rate_format_supported[clock_id], format,
              ""FORMAT"");
        } else {
          arm_scmi_check_and_report_dec(test_stats, expected_flags_mask,
                                        LEFT_SHIFT(RATE_FORMAT_SUPPORTED), 0,
                                        format, ""FORMAT"");
        }

        num_rates = arm_scmi_get_norm_bits(num_rates_flags,
                                           CLK_DESCRATE_NUM_RATES_RETURNED_HIGH,
                                           CLK_DESCRATE_NUM_RATES_RETURNED_LOW);
        exp_u = clock_expected->num_rates == NULL
                    ? 0
                    : clock_expected->num_rates[clock_id];
        arm_scmi_check_and_report_dec(test_stats, expected_flags_mask,
                                      LEFT_SHIFT(CLOCK_NUM_RATES), exp_u,
                                      num_rates, ""NUMBER OF RATES"");

        rcv_rates = (struct arm_scmi_clock_rate *)&received.payload[OFFSET_RET(
            struct arm_scmi_clock_describe_rates, rates)];
        if (format == THREE_TUPLE_RATE_FORMAT) {

          exp_u = clock_expected->low_clock_rate == NULL
                      ? 0
                      : clock_expected->low_clock_rate[clock_id].lower;
          arm_scmi_check_and_report_dec(test_stats, expected_flags_mask,
                                        LEFT_SHIFT(THREE_TUPLE_CLOCK_RATES),
                                        exp_u, rcv_rates[LOWEST_RATE].lower,
                                        ""LOWEST RATE {LOWER}"");
          exp_u = clock_expected->low_clock_rate == NULL
                      ? 0
                      : clock_expected->low_clock_rate[clock_id].upper;
          arm_scmi_check_and_report_dec(test_stats, expected_flags_mask,
                                        LEFT_SHIFT(THREE_TUPLE_CLOCK_RATES),
                                        exp_u, rcv_rates[LOWEST_RATE].upper,
                                        ""LOWEST RATE {UPPER}"");

          exp_u = clock_expected->high_clock_rate == NULL
                      ? 0
                      : clock_expected->high_clock_rate[clock_id].lower;
          arm_scmi_check_and_report_dec(test_stats, expected_flags_mask,
                                        LEFT_SHIFT(THREE_TUPLE_CLOCK_RATES),
                                        exp_u, rcv_rates[HIGHEST_RATE].lower,
                                        ""HIGHEST RATE {LOWER}"");
          exp_u = clock_expected->high_clock_rate == NULL
                      ? 0
                      : clock_expected->high_clock_rate[clock_id].upper;
          arm_scmi_check_and_report_dec(test_stats, expected_flags_mask,
                                        LEFT_SHIFT(THREE_TUPLE_CLOCK_RATES),
                                        exp_u, rcv_rates[HIGHEST_RATE].upper,
                                        ""HIGHEST RATE {UPPER}"");

          exp_u = clock_expected->step_clock_rate == NULL
                      ? 0
                      : clock_expected->step_clock_rate[clock_id].lower;
          arm_scmi_check_and_report_dec(test_stats, expected_flags_mask,
                                        LEFT_SHIFT(THREE_TUPLE_CLOCK_RATES),
                                        exp_u, rcv_rates[STEP_SIZE].lower,
                                        ""STEP SIZE {LOWER}"");
          exp_u = clock_expected->step_clock_rate == NULL
                      ? 0
                      : clock_expected->step_clock_rate[clock_id].upper;
          arm_scmi_check_and_report_dec(test_stats, expected_flags_mask,
                                        LEFT_SHIFT(THREE_TUPLE_CLOCK_RATES),
                                        exp_u, rcv_rates[STEP_SIZE].upper,
                                        ""STEP SIZE {UPPER}"");

          rates[MIN_CLOCK] = rcv_rates[LOWEST_RATE];
          op1 = (((uint64_t)rcv_rates[LOWEST_RATE].upper) << 32) |
                rcv_rates[LOWEST_RATE].lower;
          step_size = (((uint64_t)rcv_rates[STEP_SIZE].upper) << 32) |
                      rcv_rates[STEP_SIZE].lower;
          op1 += step_size;
          rates[MIN_CLOCK + 1] = (struct arm_scmi_clock_rate){
              (uint32_t)op1, (uint32_t)(op1 >> 32)};
          op1 = (((uint64_t)rcv_rates[HIGHEST_RATE].upper) << 32) |
                rcv_rates[HIGHEST_RATE].lower;
          op1 -= step_size;
          rates[MAX_CLOCK - 1] = (struct arm_scmi_clock_rate){
              (uint32_t)op1, (uint32_t)(op1 >> 32)};
          rates[MAX_CLOCK] = rcv_rates[HIGHEST_RATE];

        } else {

          discrete = clock_expected->discrete_clock_rates;
          for (nr = 0; nr < num_rates; ++nr) {
            exp_u = clock_expected->discrete_clock_rates == NULL
                        ? 0
                        : discrete[clock_id][nr + rate_index].lower;
            arm_scmi_check_and_report_dec(test_stats, expected_flags_mask,
                                          LEFT_SHIFT(DISCRETE_CLOCK_RATES),
                                          exp_u, rcv_rates->lower,
                                          ""LOWER WORD"");
            exp_u = clock_expected->discrete_clock_rates == NULL
                        ? 0
                        : discrete[clock_id][nr + rate_index].upper;
            arm_scmi_check_and_report_dec(test_stats, expected_flags_mask,
                                          LEFT_SHIFT(DISCRETE_CLOCK_RATES),
                                          exp_u, rcv_rates->upper,
                                          ""UPPER WORD"");

            if ((rate_index + nr) == 0) {
              rates[MIN_CLOCK] = rates[MIN_CLOCK + 1] = rates[MAX_CLOCK - 1] =
                  rates[MAX_CLOCK] = *rcv_rates;
            } else if ((rate_index + nr) == 1) {
              rates[MIN_CLOCK + 1] = rates[MAX_CLOCK - 1] = rates[MAX_CLOCK] =
                  *rcv_rates;
            }
            rates[MAX_CLOCK - 1] = rates[MAX_CLOCK];
            rates[MAX_CLOCK] = *rcv_rates;
            rcv_rates += 1;
          }
        }
        rate_index += num_rates;
      } while (remaining_rates > 0);
    }
  }
}",0.0,0.0,--,--,--
SL-RU-MakiseGUI-971c7c7/MakiseGUI/makise.c,set new border. This region must be smaller then previous. It will be cropped. Borders need for drawing GUI. For gui elements do not leave their & their parent's borders. After setting border & drawing it you need to call makise_rem_border.,2,"MakiseBufferBorderData makise_add_border(MakiseBuffer *buffer,
                                         MakiseBufferBorder b) {
  if (buffer == 0)
    return (MakiseBufferBorderData){0};

  if (b.x < buffer->border.x)
    b.x = buffer->border.x;
  if (b.y < buffer->border.y)
    b.y = buffer->border.y;
  if (b.w > buffer->border.w + buffer->border.x - b.x)
    b.w = buffer->border.w + buffer->border.x - b.x;
  if (b.h > buffer->border.h + buffer->border.y - b.y)
    b.h = buffer->border.h + buffer->border.y - b.y;

  b.ex = b.x + b.w;
  b.ey = b.y + b.h;

  MakiseBufferBorder l = buffer->border;

  buffer->border = b;

  return (MakiseBufferBorderData){b, l};
}",0.0,0.0,--,--,--
openastroproject-openastro-ec7e71c/ext/ffmpeg/libavformat/utils.c,"Add a new stream to a media file. When demuxing, it is called by the demuxer in read_header(). If the flag AVFMTCTX_NOHEADER is set in s.ctx_flags, then it may also be called in read_packet().",2,"AVStream *avformat_new_stream(AVFormatContext *s, const AVCodec *c) {
  AVStream *st;
  int i;
  AVStream **streams;

  if (s->nb_streams >= FFMIN(s->max_streams, INT_MAX / sizeof(*streams))) {
    if (s->max_streams < INT_MAX / sizeof(*streams))
      av_log(s, AV_LOG_ERROR,
             ""Number of streams exceeds max_streams parameter (%d), see the ""
             ""documentation if you wish to increase it\n"",
             s->max_streams);
    return NULL;
  }
  streams = av_realloc_array(s->streams, s->nb_streams + 1, sizeof(*streams));
  if (!streams)
    return NULL;
  s->streams = streams;

  st = av_mallocz(sizeof(AVStream));
  if (!st)
    return NULL;
  if (!(st->info = av_mallocz(sizeof(*st->info)))) {
    av_free(st);
    return NULL;
  }
  st->info->last_dts = AV_NOPTS_VALUE;

  st->codec = avcodec_alloc_context3(c);
  if (!st->codec) {
    av_free(st->info);
    av_free(st);
    return NULL;
  }
  if (s->iformat) {

    st->codec->bit_rate = 0;

    avpriv_set_pts_info(st, 33, 1, 90000);
  }

  st->index = s->nb_streams;
  st->start_time = AV_NOPTS_VALUE;
  st->duration = AV_NOPTS_VALUE;

  st->cur_dts = s->iformat ? RELATIVE_TS_BASE : 0;
  st->first_dts = AV_NOPTS_VALUE;
  st->probe_packets = MAX_PROBE_PACKETS;
  st->pts_wrap_reference = AV_NOPTS_VALUE;
  st->pts_wrap_behavior = AV_PTS_WRAP_IGNORE;

  st->last_IP_pts = AV_NOPTS_VALUE;
  st->last_dts_for_order_check = AV_NOPTS_VALUE;
  for (i = 0; i < MAX_REORDER_DELAY + 1; i++)
    st->pts_buffer[i] = AV_NOPTS_VALUE;

  st->sample_aspect_ratio = (AVRational){0, 1};

#if FF_API_R_FRAME_RATE
  st->info->last_dts = AV_NOPTS_VALUE;
#endif
  st->info->fps_first_dts = AV_NOPTS_VALUE;
  st->info->fps_last_dts = AV_NOPTS_VALUE;

  st->inject_global_side_data = s->internal->inject_global_side_data;

  s->streams[s->nb_streams++] = st;
  return st;
}",0.0,0.0,--,--,--
