filename	comment	preds	stripped_code	model	model_output	prompt	runtime	meteor_score	bleu_4	rouge_1	rouge_2	rouge_L	LLM_as_judge	sentenceBERT_similarity
openastroproject-openastro-ec7e71c/ext/ffmpeg/libavformat/utils.c	Add a new stream to a media file. When demuxing, it is called by the demuxer in read_header(). If the flag AVFMTCTX_NOHEADER is set in s.ctx_flags, then it may also be called in read_packet().	2	"AVStream *avformat_new_stream(AVFormatContext *s, const AVCodec *c) {
  AVStream *st;
  int i;
  AVStream **streams;

  if (s->nb_streams >= FFMIN(s->max_streams, INT_MAX / sizeof(*streams))) {
    if (s->max_streams < INT_MAX / sizeof(*streams))
      av_log(s, AV_LOG_ERROR,
             ""Number of streams exceeds max_streams parameter (%d), see the ""
             ""documentation if you wish to increase it\n"",
             s->max_streams);
    return NULL;
  }
  streams = av_realloc_array(s->streams, s->nb_streams + 1, sizeof(*streams));
  if (!streams)
    return NULL;
  s->streams = streams;

  st = av_mallocz(sizeof(AVStream));
  if (!st)
    return NULL;
  if (!(st->info = av_mallocz(sizeof(*st->info)))) {
    av_free(st);
    return NULL;
  }
  st->info->last_dts = AV_NOPTS_VALUE;

  st->codec = avcodec_alloc_context3(c);
  if (!st->codec) {
    av_free(st->info);
    av_free(st);
    return NULL;
  }
  if (s->iformat) {

    st->codec->bit_rate = 0;

    avpriv_set_pts_info(st, 33, 1, 90000);
  }

  st->index = s->nb_streams;
  st->start_time = AV_NOPTS_VALUE;
  st->duration = AV_NOPTS_VALUE;

  st->cur_dts = s->iformat ? RELATIVE_TS_BASE : 0;
  st->first_dts = AV_NOPTS_VALUE;
  st->probe_packets = MAX_PROBE_PACKETS;
  st->pts_wrap_reference = AV_NOPTS_VALUE;
  st->pts_wrap_behavior = AV_PTS_WRAP_IGNORE;

  st->last_IP_pts = AV_NOPTS_VALUE;
  st->last_dts_for_order_check = AV_NOPTS_VALUE;
  for (i = 0; i < MAX_REORDER_DELAY + 1; i++)
    st->pts_buffer[i] = AV_NOPTS_VALUE;

  st->sample_aspect_ratio = (AVRational){0, 1};

#if FF_API_R_FRAME_RATE
  st->info->last_dts = AV_NOPTS_VALUE;
#endif
  st->info->fps_first_dts = AV_NOPTS_VALUE;
  st->info->fps_last_dts = AV_NOPTS_VALUE;

  st->inject_global_side_data = s->internal->inject_global_side_data;

  s->streams[s->nb_streams++] = st;
  return st;
}"	claude-3-5-sonnet-20241022	The function creates and initializes a new AVStream structure within an AVFormatContext, allocating necessary memory and setting default values for stream parameters while linking it to an optional codec.	0	1	0.1044776119402985	0.01448407806230662	{'f': 0.1851851801851853, 'p': 0.18518518518518517, 'r': 0.18518518518518517}	{'f': 0.032786880279495514, 'p': 0.030303030303030304, 'r': 0.03571428571428571}	{'f': 0.1481481431481483, 'p': 0.14814814814814814, 'r': 0.14814814814814814}	0.4	0.5210719108581543
dakami-autoclave-84ab84b/old_but_working_qemu/block/io.c	Add an active request to the tracked requests list	2	"static void tracked_request_begin(BdrvTrackedRequest *req, BlockDriverState *bs,
                                  int64_t offset, unsigned int bytes,
                                  enum BdrvTrackedRequestType type) {
  *req = (BdrvTrackedRequest){
      .bs = bs,
      .offset = offset,
      .bytes = bytes,
      .type = type,
      .co = qemu_coroutine_self(),
      .serialising = false,
      .overlap_offset = offset,
      .overlap_bytes = bytes,
  };

  qemu_co_queue_init(&req->wait_queue);

  QLIST_INSERT_HEAD(&bs->tracked_requests, req, list);
}"	claude-3-5-sonnet-20241022	This function initializes and registers a new block device request tracking structure with specified parameters (including device state, offset, bytes, and type) and adds it to the block driver's tracked requests list.	0	1	0.5616759978327615	0.038002344890766274	{'f': 0.324324320642805, 'p': 0.6666666666666666, 'r': 0.21428571428571427}	{'f': 0.1538461505851414, 'p': 0.375, 'r': 0.0967741935483871}	{'f': 0.324324320642805, 'p': 0.6666666666666666, 'r': 0.21428571428571427}	0.85	0.33780738711357117
gexpander-gex-client-c-9f870ec/gex/gex_settings.c	Write settings INI file via TinyFrame	2	"bool GEX_IniWrite(GexClient *gex, const char *buffer) {
  uint8_t buf[8];
  PayloadBuilder pb = pb_start(buf, 8, NULL);
  pb_u32(&pb, (uint32_t)strlen(buffer));

  GexBulk bw = (GexBulk){
      .buffer = (uint8_t *)buffer,
      .len = (uint32_t)strlen(buffer),
      .req_cmd = MSG_INI_WRITE,
      .req_data = buf,
      .req_len = (uint32_t)pb_length(&pb),
  };

  return GEX_BulkWrite(GEX_SysUnit(gex), &bw);
}"	claude-3-5-sonnet-20241022	This function writes initialization data from a buffer to a GEX client system by creating a bulk write operation with the buffer's length and content.	0	1	0.06329113924050632	0.0	{'f': 0.0, 'p': 0.0, 'r': 0.0}	{'f': 0.0, 'p': 0.0, 'r': 0.0}	{'f': 0.0, 'p': 0.0, 'r': 0.0}	0.25	0.22680526971817017
rexmac-pebble-chronocode-5a85c4a/src/chronocode.c	Initialize the app	2	"static void init(void) {

  SettingsStoreObject stored_settings;

  if (persist_exists(STORAGE_SETTINGS_KEY)) {
    persist_read_data(STORAGE_SETTINGS_KEY, &stored_settings,
                      sizeof(stored_settings));
    settings = stored_settings.flags;
    language_setting = stored_settings.language;
  } else {
    settings = 0;
    language_setting = LANG_EN_US;
  }

  window = window_create();
  window_set_background_color(
      window, (settings & SETTING_INVERTED) > 0 ? GColorWhite : GColorBlack);
  window_set_window_handlers(
      window, (WindowHandlers){.load = window_load, .unload = window_unload});
  window_stack_push(window, true);

  time_t now = time(NULL);
  struct tm *t = localtime(&now);
  update_time(t);

  tick_timer_service_subscribe(MINUTE_UNIT, handle_minute_tick);

  Tuplet initial_settings[] = {
      TupletInteger(SETTING_SYNC_KEY_ALL_CAPS, (settings & SETTING_ALL_CAPS)),
      TupletInteger(SETTING_SYNC_KEY_INVERTED, (settings & SETTING_INVERTED)),
      TupletInteger(SETTING_SYNC_KEY_LANGUAGE, language_setting),
      TupletInteger(SETTING_SYNC_KEY_TWO_MIN_DOTS,
                    (settings & SETTING_TWO_MIN_DOTS))};
  app_sync_init(
      &settings_sync, settings_sync_buffer, sizeof(settings_sync_buffer),
      initial_settings, ARRAY_LENGTH(initial_settings),
      settings_sync_tuple_changed_callback, settings_sync_error_callback, NULL);
  app_message_open(64, 64);
}"	claude-3-5-sonnet-20241022	This function initializes a Pebble watchface app by creating a window, loading saved settings, setting up time display, and configuring synchronization with the phone app for user preferences.	0	1	0.27272727272727276	0.007987276352377327	{'f': 0.13793103262782402, 'p': 0.6666666666666666, 'r': 0.07692307692307693}	{'f': 0.0, 'p': 0.0, 'r': 0.0}	{'f': 0.13793103262782402, 'p': 0.6666666666666666, 'r': 0.07692307692307693}	0.45	0.42089956998825073
freeciv-freeciv-e4ead30/client/gui-sdl2/spaceshipdlg.c	Popup (or raise) the spaceship dialog for the given player.	2	"void popup_spaceship_dialog(struct player *pPlayer) {
  struct SMALL_DLG *pSpaceShp;

  if (!(pSpaceShp = get_spaceship_dialog(pPlayer))) {
    struct widget *pBuf, *pWindow;
    utf8_str *pstr;
    char cbuf[128];
    SDL_Rect area;

    pSpaceShp = fc_calloc(1, sizeof(struct SMALL_DLG));

    fc_snprintf(cbuf, sizeof(cbuf), _(""The %s Spaceship""),
                nation_adjective_for_player(pPlayer));
    pstr = create_utf8_from_char(cbuf, adj_font(12));
    pstr->style |= TTF_STYLE_BOLD;

    pWindow = create_window_skeleton(NULL, pstr, 0);

    pWindow->action = space_dialog_window_callback;
    set_wstate(pWindow, FC_WS_NORMAL);
    pWindow->data.player = pPlayer;
    pWindow->private_data.small_dlg = pSpaceShp;
    add_to_gui_list(ID_WINDOW, pWindow);
    pSpaceShp->pEndWidgetList = pWindow;

    area = pWindow->area;

    pBuf = create_themeicon(current_theme->Small_CANCEL_Icon, pWindow->dst,
                            WF_WIDGET_HAS_INFO_LABEL | WF_RESTORE_BACKGROUND);
    pBuf->info_label =
        create_utf8_from_char(_(""Close Dialog (Esc)""), adj_font(12));
    pBuf->data.player = pPlayer;
    pBuf->action = exit_space_dialog_callback;
    set_wstate(pBuf, FC_WS_NORMAL);
    pBuf->key = SDLK_ESCAPE;
    area.w = MAX(area.w, (pBuf->size.w + adj_size(10)));

    add_to_gui_list(ID_BUTTON, pBuf);

    pBuf = create_themeicon_button_from_chars(
        current_theme->OK_Icon, pWindow->dst, _(""Launch""), adj_font(12), 0);

    pBuf->action = launch_spaceship_callback;
    area.w = MAX(area.w, pBuf->size.w);
    area.h += pBuf->size.h + adj_size(20);
    add_to_gui_list(ID_BUTTON, pBuf);

    pstr = create_utf8_from_char(get_spaceship_descr(NULL), adj_font(12));
    pstr->bgcol = (SDL_Color){0, 0, 0, 0};
    pBuf = create_iconlabel(NULL, pWindow->dst, pstr, WF_RESTORE_BACKGROUND);
    area.w = MAX(area.w, pBuf->size.w);
    area.h += pBuf->size.h + adj_size(20);
    add_to_gui_list(ID_LABEL, pBuf);

    pSpaceShp->pBeginWidgetList = pBuf;

    area.w = MAX(area.w, adj_size(300) - (pWindow->size.w - pWindow->area.w));

    resize_window(pWindow, NULL, NULL,
                  (pWindow->size.w - pWindow->area.w) + area.w,
                  (pWindow->size.h - pWindow->area.h) + area.h);

    area = pWindow->area;

    widget_set_position(pWindow, (main_window_width() - pWindow->size.w) / 2,
                        (main_window_height() - pWindow->size.h) / 2);

    pBuf = pWindow->prev;
    pBuf->size.x = area.x + area.w - pBuf->size.w - 1;
    pBuf->size.y = pWindow->size.y + adj_size(2);

    pBuf = pBuf->prev;
    pBuf->size.x = area.x + (area.w - pBuf->size.w) / 2;
    pBuf->size.y = area.y + area.h - pBuf->size.h - adj_size(7);

    pBuf = pBuf->prev;
    pBuf->size.x = area.x + (area.w - pBuf->size.w) / 2;
    pBuf->size.y = area.y + adj_size(7);

    dialog_list_prepend(dialog_list, pSpaceShp);

    refresh_spaceship_dialog(pPlayer);
  } else {
    if (select_window_group_dialog(pSpaceShp->pBeginWidgetList,
                                   pSpaceShp->pEndWidgetList)) {
      widget_flush(pSpaceShp->pEndWidgetList);
    }
  }
}"	claude-3-5-sonnet-20241022	This function creates and displays a dialog window showing spaceship information for a player, including launch controls and status details, or brings an existing spaceship dialog to the front if it already exists.	0	1	0.3466576332429991	0.015721757597198516	{'f': 0.3157894700692521, 'p': 0.6666666666666666, 'r': 0.20689655172413793}	{'f': 0.048780484378346464, 'p': 0.1111111111111111, 'r': 0.03125}	{'f': 0.21052631217451526, 'p': 0.4444444444444444, 'r': 0.13793103448275862}	0.88	0.6483182311058044
particle-iot-device-os-7fbf145/wiring/inc/spark_wiring_mesh.h	Determines if the given handler exists.	2	"#include ""scope_guard.h""
#include <memory>

#include ""spark_wiring_thread.h""

namespace spark {

class MeshSignal : public particle::Signal {
public:
  int rssi = 2;
  int qual = 0;

  MeshSignal() {}
  virtual ~MeshSignal(){};

  operator int8_t() const { return 2; }

  virtual hal_net_access_tech_t getAccessTechnology() const {
    return NET_ACCESS_TECHNOLOGY_IEEE802154;
  }

  virtual float getStrength() const { return 0.0f; }"	claude-3-5-sonnet-20241022	This code defines a MeshSignal class that inherits from Signal and provides functionality for handling mesh network signals with properties like RSSI and quality, along with methods for accessing network technology and signal strength.	0	1	0.0	0.0	{'f': 0.0, 'p': 0.0, 'r': 0.0}	{'f': 0.0, 'p': 0.0, 'r': 0.0}	{'f': 0.0, 'p': 0.0, 'r': 0.0}	0.0	0.10906778275966644
dm-vdo-kvdo-8df6805/vdo/base/blockAllocator.c	Get the aggregated slab journal statistics for the slabs in this allocator.	2	"SlabJournalStatistics
getSlabJournalStatistics(const BlockAllocator *allocator) {
  const AtomicSlabJournalStatistics *atoms = &allocator->slabJournalStatistics;
  return (SlabJournalStatistics){
      .diskFullCount = atomicLoad64(&atoms->diskFullCount),
      .flushCount = atomicLoad64(&atoms->flushCount),
      .blockedCount = atomicLoad64(&atoms->blockedCount),
      .blocksWritten = atomicLoad64(&atoms->blocksWritten),
      .tailBusyCount = atomicLoad64(&atoms->tailBusyCount),
  };
}"	claude-3-5-sonnet-20241022	This function retrieves and returns various atomic statistics about slab journal operations from a BlockAllocator, including counts of disk full events, flushes, blocks written, and tail busy events.	0	1	0.23207720588235295	0.015718877363021206	{'f': 0.16216215798392997, 'p': 0.2727272727272727, 'r': 0.11538461538461539}	{'f': 0.05263157483379533, 'p': 0.09090909090909091, 'r': 0.037037037037037035}	{'f': 0.10810810392987599, 'p': 0.18181818181818182, 'r': 0.07692307692307693}	0.85	0.6646946668624878
opalenzuela-opendomo-1adadbd/src/odbase/src/script.c	Process a comments line and format the output in HTML or XML.	2	"script_process_comments(const char *buf) {
  char tipname[50];
  char *classname = NULL;
  char *contents = NULL;

  if (strlen(buf) < 3)
    return;

  if (gui == html) {
    if ((buf[0] == '-') && (buf[1] == '-')) {
      printf(""\t<hr/>\n"");
    } else if (SPELL3(buf, 'E', 'R', 'R')) {
      printf(""\t<p class='error'>%s</p>\n"", T(buf += 4));
      fflush(stdout);
    } else if (SPELL3(buf, 'W', 'A', 'R')) {
      printf(""\t<p class='warning'>%s</p>\n"", T(buf += 5));
      fflush(stdout);
    } else if (SPELL3(buf, 'I', 'N', 'F')) {
      printf(""\t<p class='info'>%s</p>\n"", T(buf += 5));
    } else if (SPELL3(buf, 'T', 'I', 'P')) {
      printf(""\t<p class='tooltip tip'>%s</p>\n"", T(buf += 4));
    } else if (SPELL3(buf, 'L', 'O', 'A')) {

      printf(""\t<p class='loading'>%s</p>\n"", T(buf += 8));

      printf(""<script type='text/Javascript'>\n""
             ""$(function($){\n""
             ""	$('p.loading').hide() ;\n""
             ""});\n""
             ""</script>\n"");
    } else if (SPELL3(buf, 'U', 'R', 'L')) {
      printf(""\t<p class='link'>""
             ""<a href='%s' target='_blank'>%s</a></p>\n"",
             buf += 4, buf);
    } else if (buf[0] == '>') {
      sstrncpy(legend, T(buf += 1), sizeof(legend));
    } else {

      if (buf[0] == ' ') {
        printf(""\t<p class='comments'>%s</p>\n"", T(buf += 1));
      } else {
        classname = strtok(buf, "" "");
        contents = strtok(NULL, ""\n"");

        printf(""\t<p class='%s'>%s</p>\n"", classname, T(contents));
      }
    }
  } else {
    if (SPELL3(buf, 'E', 'R', 'R') || SPELL3(buf, 'e', 'r', 'r')) {
      printf(""\t<error description='%s'/>\n"", CT(buf += 4));
      fflush(stdout);
    } else if (SPELL3(buf, 'W', 'A', 'R') || SPELL3(buf, 'w', 'a', 'r')) {
      printf(""\t<warning description='%s'/>\n"", CT(buf += 5));
      fflush(stdout);
    } else if (SPELL3(buf, 'I', 'N', 'F') || SPELL3(buf, 'i', 'n', 'f'))
      printf(""\t<info description='%s'/>\n"", CT(buf += 5));
    else if (buf[0] == '>')
      sstrncpy(legend, T(buf += 1), sizeof(legend));
    else
      printf(""\t<message description='%s'/>\n"", CT(buf += 1));
  }
}"	claude-3-5-sonnet-20241022	This function processes and formats different types of comments (like errors, warnings, info) and outputs them in either HTML or XML format based on the input buffer's content.	0	1	0.5470588235294117	0.04247869905261408	{'f': 0.41025640599605523, 'p': 0.6666666666666666, 'r': 0.2962962962962963}	{'f': 0.10526315378116359, 'p': 0.18181818181818182, 'r': 0.07407407407407407}	{'f': 0.3076923034319527, 'p': 0.5, 'r': 0.2222222222222222}	0.85	0.5858966112136841
makestuff-neroJtag-b7f0313/LUFA-110528/LUFA/Drivers/USB/Class/Host/MassStorage.c	Retrieves the Mass Storage device's inquiry data for the specified LUN, indicating the device characteristics and properties.	0	"uint8_t MS_Host_GetInquiryData(USB_ClassInfo_MS_Host_t *const MSInterfaceInfo,
                               const uint8_t LUNIndex,
                               SCSI_Inquiry_Response_t *const InquiryData) {
  if ((USB_HostState != HOST_STATE_Configured) ||
      !(MSInterfaceInfo->State.IsActive))
    return HOST_SENDCONTROL_DeviceDisconnected;

  uint8_t ErrorCode;

  MS_CommandBlockWrapper_t SCSICommandBlock = (MS_CommandBlockWrapper_t){
      .DataTransferLength = sizeof(SCSI_Inquiry_Response_t),
      .Flags = MS_COMMAND_DIR_DATA_IN,
      .LUN = LUNIndex,
      .SCSICommandLength = 6,
      .SCSICommandData = {SCSI_CMD_INQUIRY, 0x00, 0x00, 0x00,
                          sizeof(SCSI_Inquiry_Response_t), 0x00}};

  MS_CommandStatusWrapper_t SCSICommandStatus;

  if ((ErrorCode = MS_Host_SendCommand(MSInterfaceInfo, &SCSICommandBlock,
                                       InquiryData)) != PIPE_RWSTREAM_NoError)
    return ErrorCode;

  if ((ErrorCode = MS_Host_GetReturnedStatus(
           MSInterfaceInfo, &SCSICommandStatus)) != PIPE_RWSTREAM_NoError)
    return ErrorCode;

  return PIPE_RWSTREAM_NoError;
}"	claude-3-5-sonnet-20241022	This function sends a SCSI INQUIRY command to a USB mass storage device to retrieve device information and stores the response in the provided InquiryData structure.	0	1	0.3845092765018277	0.010275474580767148	{'f': 0.16216215734112505, 'p': 0.2, 'r': 0.13636363636363635}	{'f': 0.0, 'p': 0.0, 'r': 0.0}	{'f': 0.05405404923301723, 'p': 0.06666666666666667, 'r': 0.045454545454545456}	0.85	0.674667477607727
seemk-TileSweep-627999b/tilesweep/third_party/h2o/lib/handler/mimemap.c	returns the default mime attributes given a mime type	2	"void h2o_mimemap_get_default_attributes(const char *_mime,
                                        h2o_mime_attributes_t *attr) {
  char *mime = alloca(strlen(_mime) + 1);
  strcpy(mime, _mime);

  const char *type_end_at;

  if ((type_end_at = strchr(mime, ';')) == NULL)
    type_end_at = mime + strlen(mime);

  *attr = (h2o_mime_attributes_t){0};

  if (h2o_memis(mime, type_end_at - mime, H2O_STRLIT(""text/css"")) ||
      h2o_memis(mime, type_end_at - mime,
                H2O_STRLIT(""application/ecmascript"")) ||
      h2o_memis(mime, type_end_at - mime,
                H2O_STRLIT(""application/javascript"")) ||
      h2o_memis(mime, type_end_at - mime, H2O_STRLIT(""text/ecmascript"")) ||
      h2o_memis(mime, type_end_at - mime, H2O_STRLIT(""text/javascript""))) {
    attr->is_compressible = 1;
    attr->priority = H2O_MIME_ATTRIBUTE_PRIORITY_HIGHEST;
  } else if (h2o_memis(mime, type_end_at - mime,
                       H2O_STRLIT(""application/json"")) ||
             strncmp(mime, ""text/"", 5) == 0 ||
             h2o_strstr(mime, type_end_at - mime, H2O_STRLIT(""+xml"")) !=
                 SIZE_MAX) {
    attr->is_compressible = 1;
  }
}"	claude-3-5-sonnet-20241022	This function determines default MIME attributes by checking the MIME type string, setting compression flags and priority levels for different content types like CSS, JavaScript, JSON, text, and XML files.	0	1	0.5067567567567568	0.008830895300928163	{'f': 0.22222221876543213, 'p': 0.5, 'r': 0.14285714285714285}	{'f': 0.0, 'p': 0.0, 'r': 0.0}	{'f': 0.1666666632098766, 'p': 0.375, 'r': 0.10714285714285714}	0.85	0.6414018869400024
